title,link,description,bloggername,bloggerlink,postdate
<b>파이토치</b>는 죽었다. JAX 무병장수하소서,https://jpub.tistory.com/468761,"위해 <b>파이토치</b>(동적, 즉시 실행)가 나타나 득세했지만, LLM(GPT-3)이 등장하며 확장성의 문제로 다시 텐서플로스러운 접근법이 선호받게 되었다는 점이 뭔가 아이러니합니다. 영원한 1등은 없다는 말이 새삼... ",제이펍의 참 똑똑한 2비트 책 이야기,https://jpub.tistory.com/,20240902
5. <b>파이토치</b> - 분산 학습의 개념과 하드웨어,https://bcho.tistory.com/1439,"아래는 <b>파이토치</b> 데이터 분산학습 (DDP)의 예로, NCCL 백앤드를 사용한 예제이다. MPI를 사용하는 예제의 경우에는 dist.init_process_group(&quot;nccl&quot; 을 dist.init_process_group(&quot;mpi&quot; 로 변경하면 된다.... ",조대협의 블로그,https://bcho.tistory.com/,20240903
AI 인공지능 <b>파이토치</b> 서적으로 가볍게 시작해보죠,https://blog.naver.com/modulestudio/223226304129,<b>파이토치</b>로 딥러닝 모델까지도 공부할 수 있다고 하는데 아무것도 모르는 저 또한 궁금증에... 제가 공부하고자 하는 분야에서 접근할 수 있는 손쉬운 언어라는 점에서 파이썬과 함께 배워볼 수 있는 언어라고... ,Modulestudio,blog.naver.com/modulestudio,20231002
쉽게 배워보는 &quot;<b>파이토치</b>와 구글 코랩으로 배우는 BERT 입문&quot;,https://blog.naver.com/rapperkjm/223338948377,"<b>파이토치</b>와 구글 코랩으로 배우는 BERT 입문 저자 아즈마 유키나가 출판 에이케이커뮤니케이션즈 발매... 아무튼 그래서 오늘 소개할 책은 바로 <b>파이토치</b>, 그리고 구글코랩을 이용한 BERT를 입문할 수 있는... ",한껏 게을러터진 냥이 집사의 일기장,blog.naver.com/rapperkjm,20240131
머신러닝 <b>파이토치</b> 교과서는 이 책으로 종결입니다.,https://blog.naver.com/halodaddy/223291982263,"이번 포스팅에서는 대표적인 오픈 소스 라이브러리인 <b>파이토치</b>에 대해 다르고 있는, 머신러닝 교과서에... 파이썬은 조금만 공부하면 어렵지 않게 사용할 수 있는 언어이기 때문에 맨 앞 기초부분부터 차근차근... ",할로대디의 고군분투 육아,blog.naver.com/halodaddy,20231213
[PyTorch 강의 20강] <b>파이토치</b> 파인튜닝 예제 (Cats and Dogs),https://blog.naver.com/beyondlegend/223413546008,learning 강의 강좌 #<b>파이토치</b> 전이학습 파인튜닝 transfer learning fine tuning 설명 사용 예제 #<b>파이토치</b> pytorch fine tuning 파인튜닝 cats dogs 예제 설명 example #pytorch <b>파이토치</b> transfer learning cats dogs 예제 example,A Better Tomorrow,blog.naver.com/beyondlegend,20240412
[PyTorch] <b>파이토치</b> 설치,https://blog.naver.com/hss2864/223112475826,(참고) - 텐서플로우: 2015년에 구글이 개발한 오픈소스 라이브러리 - <b>파이토치</b>: 2017년에 페이스북이 개발한 파이썬 기반 오픈소스 라이브러리 <b>파이토치</b>를 위한 가상환경 설정 : &quot;pyto&quot;라는 가상환경... ,토리홀릭,blog.naver.com/hss2864,20230526
AI 공부를 위한 책 머신러닝 교과서 <b>파이토치</b>편,https://blog.naver.com/byeong2_/223290889868,학부 과정 때 <b>파이토치</b>를 이용해 딥러닝을 다뤘던 경험이 있긴 하지만 대학원에 진학한 후로는 거의 공부를 하지 못하고 있었어요ㅠㅠ 코딩을 계속 손에 놓게 되면 파이썬이나 머신러닝 등 다 잊어버릴까 봐... ,뿅이의 여행기록장✈️,blog.naver.com/byeong2_,20231212
<b>파이토치</b> 딥러닝 마스터 _ 2장 (1),https://blog.naver.com/hx_s__min/223538237667,"<b>파이토치</b> 다차원 배열인 텐서 형태로 전환함 (transforms. ToTensor()) 5. 지정된 평균과 표준편차를... unsquezze(img_t,0) 이라고 볼 수 있음 <b>파이토치</b>의 max함수를 사용해서 텐서에서의 최댓값을... ",RECORD,blog.naver.com/hx_s__min,20240806
"AI 개발을 위한 도구들: 텐서플로우, <b>파이토치</b> 등 주요... ",https://blog.naver.com/devdevdev77/223560157643,"- **파이썬 친화성**: <b>파이토치</b>는 파이썬 언어와 매우 유사하게 설계되어, 파이썬을 잘 아는 개발자들에게 친숙한 개발 환경을 제공합니다. - **커뮤니티와 도큐멘테이션**: <b>파이토치</b>는 활발한 커뮤니티와... ",devdevdev77님의 블로그,blog.naver.com/devdevdev77,20240825
